Asteroid_ID,H,a,e,sin_i,"g(""/y)","s(""/y)",is_family_004,is_family_005,is_family_006,is_family_008,is_family
588,8.13,5.2391785,0.1036,0.1969,344.4,-11.03,0,0,0,0,0
624,7.17,5.29561925,0.0544,0.3259,335.65,-12.89,1,0,0,0,1
659,8.57,5.25712325,0.1366,0.0857,354.6,-16.91,0,0,0,0,0
911,7.85,5.28559425,0.021,0.3863,317.22,-8.58,0,0,0,0,0
1143,8.31,5.25592025,0.0522,0.0691,365.4,-10.91,0,0,0,0,0
1404,9.26,5.29962925,0.076,0.3274,334.11,-14.77,0,0,0,0,0
1437,8.19,5.3362205,0.0314,0.3726,50.35,-20.14,0,0,0,0,0
1583,8.53,5.31446625,0.0187,0.4857,282.17,-10.85,0,0,0,0,0
1647,10.5,5.24649675,0.0588,0.1166,359.33,-9.96,0,0,0,0,0
1749,9.41,5.27396525,0.0685,0.1187,366.01,-13.56,0,0,0,0,0
1868,9.54,5.31125825,0.1042,0.2896,344.3,-20.37,0,0,0,0,0
1869,11.11,5.31045625,0.0614,0.0599,357.56,-20.39,0,0,0,0,0
2146,9.86,5.2243415,0.0651,0.6122,227.21,3.26,0,0,0,0,0
2148,10.62,5.230156,0.024,0.1552,354.55,-7.46,0,0,0,0,0
2260,9.38,5.226948,0.0197,0.283,334.39,-5.25,0,0,0,0,0
2456,9.45,5.28719825,0.0293,0.2567,351.85,-12.07,0,0,0,0,0
2759,9.91,5.25582,0.0875,0.3662,314.23,-7.81,0,0,0,0,0
2797,9.09,5.313163,0.0768,0.3586,327.9,-17.0,0,0,0,0,0
2920,9.0,5.3065465,0.0165,0.3731,325.7,-12.71,0,0,0,0,0
3063,8.78,5.26855175,0.0558,0.2338,349.22,-10.59,0,0,0,0,0
3391,10.27,5.300331,0.0432,0.2728,230.96,-14.35,0,0,0,0,0
3540,9.43,5.28519325,0.1201,0.3899,306.78,-13.64,0,0,0,0,0
3548,9.84,5.297925,0.0437,0.1291,377.04,-16.45,0,1,0,0,1
3564,9.47,5.2524115,0.0844,0.2645,337.37,-9.64,0,0,0,0,0
3596,9.33,5.28880225,0.0277,0.4059,311.13,-8.67,0,0,0,0,0
3709,9.19,5.2664465,0.0142,0.3351,328.35,-7.15,0,0,0,0,0
3793,8.98,5.2568225,0.0577,0.3602,318.4,-6.59,0,0,0,0,0
3794,10.34,5.22775,0.125,0.1177,349.02,-13.14,0,0,0,0,0
3801,10.86,5.3193785,0.0186,0.4859,281.73,-11.93,0,0,0,0,0
4007,10.29,5.26634625,0.0157,0.1939,357.13,-9.84,0,0,0,0,0
4035,9.64,5.28218575,0.0096,0.2266,354.65,-11.48,0,0,0,0,0
4057,10.14,5.2676495,0.0811,0.05,366.81,-13.73,0,0,0,0,0
4060,9.52,5.25752425,0.1293,0.2689,331.63,-13.52,0,0,0,0,0
4063,8.88,5.25471725,0.0735,0.3007,331.27,-8.49,0,0,0,0,0
4068,9.65,5.2909075,0.0686,0.2961,341.04,-13.46,0,0,0,0,0
4086,9.28,5.30363925,0.0793,0.3542,326.63,-15.15,0,0,0,0,0
4138,10.03,5.26454175,0.044,0.0485,369.46,-11.67,0,0,0,0,0
4489,9.22,5.30744875,0.0295,0.3553,331.37,-13.66,0,0,0,0,0
4501,10.33,5.2860955,0.0084,0.1631,355.53,-13.04,0,0,0,0,0
4543,9.77,5.3302055,0.0588,0.275,340.31,-22.51,0,0,0,0,0
4833,8.97,5.25832625,0.0721,0.5485,255.4,-1.38,0,0,0,0,0
4834,9.19,5.2471985,0.0888,0.4548,287.48,-4.58,0,0,0,0,0
4836,9.47,5.2696545,0.0813,0.3103,331.14,-10.47,0,0,0,0,0
4902,9.82,5.21922875,0.0094,0.1515,350.84,-6.95,0,0,0,0,0
4946,10.04,5.315569,0.0904,0.3594,326.24,-18.64,0,0,0,0,0
5012,10.46,5.2688525,0.0737,0.0805,366.8,-13.45,0,0,0,0,0
5023,10.3,5.27035625,0.0295,0.225,352.76,-10.11,0,0,0,0,0
5025,10.26,5.23246175,0.029,0.2016,348.69,-7.05,0,0,0,0,0
5027,9.57,5.30023075,0.0204,0.5027,275.45,-7.44,0,0,0,0,0
5028,10.15,5.25993025,0.0841,0.3551,318.01,-8.34,0,0,0,0,0
5041,10.63,5.29802525,0.0451,0.1777,370.17,-15.91,0,0,0,0,0
5123,10.06,5.23867725,0.0704,0.1279,355.93,-9.82,0,0,0,0,0
5126,10.38,5.24689775,0.0454,0.4778,206.26,-1.83,0,0,0,0,0
5209,10.18,5.3209825,0.0284,0.177,4.25,-20.19,0,0,0,0,0
5244,10.37,5.2620355,0.0563,0.1178,363.29,-11.39,0,0,0,0,0
5254,9.21,5.24288775,0.0779,0.388,307.98,-5.58,0,0,0,0,0
5258,10.21,5.28920325,0.0589,0.1224,372.54,-15.54,0,1,0,0,1
5259,10.22,5.2379755,0.1197,0.2578,332.33,-11.08,0,0,0,0,0
5264,9.51,5.21973,0.0854,0.5329,261.17,-0.3,0,0,0,0,0
5283,9.79,5.2179255,0.1013,0.2797,329.05,-8.35,0,0,0,0,0
5284,9.96,5.2287525,0.038,0.3226,325.57,-4.85,0,0,0,0,0
5285,9.93,5.31867675,0.0176,0.4065,315.62,-14.46,0,0,0,0,0
5436,10.38,5.21802575,0.0526,0.1496,352.85,-7.89,0,0,0,0,0
5652,10.09,5.23165975,0.0524,0.0555,361.11,-9.12,0,0,0,0,0
6090,9.5,5.31125825,0.0215,0.365,329.29,-14.0,0,0,0,0,0
6545,10.05,5.309955,0.007,0.2309,331.19,-16.65,0,0,0,0,0
7119,9.75,5.30303775,0.065,0.353,328.43,-14.19,0,0,0,0,0
7152,10.17,5.26113325,0.0202,0.0431,369.6,-10.68,0,0,0,0,0
7214,11.51,5.31767425,0.014,0.2345,369.69,-18.49,0,0,0,0,0
7543,10.56,5.27988,0.0312,0.2452,351.72,-11.12,0,0,0,0,0
7641,9.46,5.221735,0.0406,0.5832,244.59,2.81,0,0,0,0,0
8060,10.8,5.29201025,0.0605,0.1273,338.69,-15.89,0,1,0,0,1
8125,10.67,5.31266175,0.0414,0.2461,220.94,-17.45,0,0,0,0,0
8241,11.13,5.304742,0.0926,0.0734,380.95,-21.57,0,0,0,0,0
8317,10.94,5.325995,0.0744,0.0449,393.83,-25.82,0,0,0,0,0
9431,10.46,5.298727,0.0613,0.3655,323.94,-12.75,0,0,0,0,0
9590,11.83,5.313564,0.083,0.1106,382.95,-22.6,0,0,0,0,0
9694,10.58,5.34915275,0.0103,0.0955,413.1,-29.94,0,0,0,0,0
9712,10.72,5.23025625,0.0825,0.1436,352.12,-9.83,0,0,0,0,0
9713,11.14,5.25311325,0.0334,0.0627,366.03,-10.04,0,0,0,0,0
9790,10.79,5.25752425,0.0432,0.1191,362.75,-10.37,0,0,0,0,0
9799,9.47,5.225344,0.0489,0.5262,214.22,0.74,0,0,1,0,1
9807,11.34,5.2083015,0.1056,0.1024,351.89,-11.23,0,0,0,0,0
9817,11.32,5.30183475,0.03,0.1564,376.2,-16.48,0,0,0,0,0
9818,10.93,5.2860955,0.0464,0.1297,371.38,-14.33,0,1,0,0,1
9828,11.78,5.2576245,0.0612,0.0341,366.62,-11.63,0,0,0,0,0
9857,10.18,5.29421575,0.0693,0.3588,324.35,-12.5,0,0,0,0,0
9907,11.37,5.3045415,0.0232,0.1296,381.43,-17.17,0,0,0,0,0
10247,10.99,5.362085,0.0426,0.0659,427.95,-36.63,0,0,0,0,0
10664,11.16,5.310356,0.041,0.1669,217.92,-18.44,0,0,0,0,0
10989,11.1,5.2552185,0.0572,0.1832,353.86,-9.91,0,0,0,0,0
11251,11.85,5.264241,0.0504,0.051,368.85,-11.86,0,0,0,0,0
