Asteroid_ID,a,e,sin_i,H,C,Family_ID,Family_Number,Family_Name
153,3.96525,0.17372,0.155,7.45,-99.9999,1,153,Hilda
1038,3.96484,0.16397,0.1433,10.41,-99.9999,1,153,Hilda
1212,3.9674,0.2299,0.12597,9.44,-99.9999,1,153,Hilda
1529,3.96427,0.15392,0.13692,9.88,-99.9999,1,153,Hilda
1746,3.96314,0.14101,0.16076,9.81,-99.9999,1,153,Hilda
3134,3.9658,0.18375,0.15585,10.48,-99.9999,1,153,Hilda
3561,3.96231,0.13259,0.14921,10.93,-99.9999,1,153,Hilda
3571,3.96199,0.12718,0.16006,10.89,-99.9999,1,153,Hilda
3990,3.96507,0.16844,0.16747,10.78,-99.9999,1,153,Hilda
4317,3.967,0.21341,0.15928,10.91,-99.9999,1,153,Hilda
5928,3.96446,0.16028,0.15133,11.42,-99.9999,1,153,Hilda
6124,3.96613,0.19151,0.15089,12.04,-99.9999,1,153,Hilda
11175,3.96292,0.13946,0.151,12.71,-99.9999,1,153,Hilda
11388,3.96444,0.15715,0.15172,11.05,-99.9999,1,153,Hilda
13897,3.96313,0.13775,0.15371,12.24,-99.9999,1,153,Hilda
14195,3.96594,0.18741,0.15393,11.67,-99.9999,1,153,Hilda
15373,3.96125,0.12161,0.15527,12.69,-99.9999,1,153,Hilda
15505,3.9657,0.17876,0.14392,11.33,-99.9999,1,153,Hilda
15638,3.96352,0.14547,0.14555,11.19,-99.9999,1,153,Hilda
16232,3.96478,0.16451,0.15357,12.47,-99.9999,1,153,Hilda
16915,3.96623,0.19329,0.13827,11.75,-99.9999,1,153,Hilda
17212,3.96663,0.20501,0.15187,12.31,-99.9999,1,153,Hilda
17428,3.96507,0.16769,0.16657,11.18,-99.9999,1,153,Hilda
21128,3.96532,0.17132,0.15404,11.85,-99.9999,1,153,Hilda
26929,3.96727,0.22069,0.14999,13.18,-99.9999,1,153,Hilda
31284,3.96586,0.18698,0.14409,12.62,-99.9999,1,153,Hilda
31338,3.96232,0.13179,0.15417,12.93,-99.9999,1,153,Hilda
32455,3.9665,0.20158,0.15665,12.71,-99.9999,1,153,Hilda
32724,3.96476,0.16445,0.15266,13.23,-99.9999,1,153,Hilda
35016,3.96511,0.17107,0.15586,13.35,-99.9999,1,153,Hilda
35630,3.96623,0.19492,0.15137,12.6,-99.9999,1,153,Hilda
37155,3.96128,0.12094,0.15529,12.96,-99.9999,1,153,Hilda
37452,3.96458,0.16144,0.14772,13.93,-99.9999,1,153,Hilda
37590,3.96624,0.19423,0.14643,12.9,-99.9999,1,153,Hilda
38470,3.96363,0.14785,0.13965,13.03,-99.9999,1,153,Hilda
38701,3.96612,0.19199,0.15009,11.71,-99.9999,1,153,Hilda
39282,3.96648,0.20205,0.14447,12.02,-99.9999,1,153,Hilda
40227,3.96659,0.20273,0.16463,12.65,-99.9999,1,153,Hilda
41278,3.96627,0.19518,0.15744,12.74,-99.9999,1,153,Hilda
41365,3.96482,0.16413,0.15502,12.43,-99.9999,1,153,Hilda
41488,3.96414,0.15433,0.15757,12.16,-99.9999,1,153,Hilda
42190,3.96364,0.14769,0.15568,12.82,-99.9999,1,153,Hilda
42237,3.96236,0.12728,0.16164,12.23,-99.9999,1,153,Hilda
45850,3.96117,0.11842,0.16477,12.36,-99.9999,1,153,Hilda
51178,3.96519,0.17285,0.15249,12.41,-99.9999,1,153,Hilda
51930,3.96542,0.1771,0.15339,12.75,-99.9999,1,153,Hilda
