Asteroid_ID,a,e,sin_i,H,C,Family_ID,Family_Number,Family_Name
1911,3.96586,0.1906,0.05088,9.97,-99.9999,2,1911,Schubart
1941,3.96703,0.21689,0.0534,11.66,-99.9999,2,1911,Schubart
3923,3.96609,0.19586,0.05014,11.53,-99.9999,2,1911,Schubart
4230,3.96612,0.1966,0.04977,11.65,-99.9999,2,1911,Schubart
4255,3.96614,0.19701,0.04956,13.01,-99.9999,2,1911,Schubart
8376,3.96586,0.18993,0.04872,11.61,-99.9999,2,1911,Schubart
8550,3.96584,0.18994,0.04944,12.12,-99.9999,2,1911,Schubart
8913,3.96615,0.19713,0.05055,12.46,-99.9999,2,1911,Schubart
9829,3.96591,0.19181,0.0498,11.95,-99.9999,2,1911,Schubart
12307,3.96598,0.193,0.0504,12.63,-99.9999,2,1911,Schubart
13035,3.96606,0.19514,0.05023,11.71,-99.9999,2,1911,Schubart
15068,3.96669,0.20759,0.04324,13.78,-99.9999,2,1911,Schubart
15545,3.9661,0.19598,0.05082,12.93,-99.9999,2,1911,Schubart
15615,3.96618,0.19809,0.05203,12.12,-99.9999,2,1911,Schubart
18036,3.96614,0.19704,0.04979,12.8,-99.9999,2,1911,Schubart
19034,3.96598,0.19339,0.04984,12.73,-99.9999,2,1911,Schubart
21930,3.96552,0.18351,0.05017,12.8,-99.9999,2,1911,Schubart
22647,3.96546,0.18216,0.04942,13.18,-99.9999,2,1911,Schubart
22699,3.96538,0.1809,0.05031,13.43,-99.9999,2,1911,Schubart
25800,3.96631,0.20015,0.0495,12.77,-99.9999,2,1911,Schubart
29973,3.96545,0.18223,0.05051,13.55,-99.9999,2,1911,Schubart
30764,3.96612,0.19635,0.05088,13.4,-99.9999,2,1911,Schubart
38046,3.96544,0.18193,0.05008,12.95,-99.9999,2,1911,Schubart
38684,3.96577,0.18884,0.04993,13.0,-99.9999,2,1911,Schubart
39405,3.96621,0.19855,0.05051,13.17,-99.9999,2,1911,Schubart
39427,3.96517,0.17639,0.05031,12.39,-99.9999,2,1911,Schubart
46629,3.96552,0.18334,0.04966,12.85,-99.9999,2,1911,Schubart
51888,3.96563,0.18578,0.05005,12.7,-99.9999,2,1911,Schubart
55439,3.96531,0.17952,0.05033,13.73,-99.9999,2,1911,Schubart
55505,3.96599,0.19309,0.04964,13.12,-99.9999,2,1911,Schubart
56985,3.96626,0.19969,0.05108,13.76,-99.9999,2,1911,Schubart
57759,3.96631,0.20115,0.05008,13.5,-99.9999,2,1911,Schubart
62489,3.96625,0.19979,0.04821,13.83,-99.9999,2,1911,Schubart
63491,3.9662,0.19739,0.0508,14.13,-99.9999,2,1911,Schubart
65389,3.96603,0.19454,0.05011,13.71,-99.9999,2,1911,Schubart
68247,3.966,0.19379,0.0503,13.06,-99.9999,2,1911,Schubart
69566,3.96625,0.19987,0.04861,13.01,-99.9999,2,1911,Schubart
73769,3.96631,0.20086,0.05089,14.5,-99.9999,2,1911,Schubart
73886,3.96567,0.18694,0.04959,13.84,-99.9999,2,1911,Schubart
77892,3.96707,0.21982,0.05747,12.96,-99.9999,2,1911,Schubart
79097,3.96608,0.19007,0.04985,14.03,-99.9999,2,1911,Schubart
79439,3.96699,0.21163,0.04385,14.06,-99.9999,2,1911,Schubart
82011,3.96584,0.19017,0.05008,13.15,-99.9999,2,1911,Schubart
83722,3.96635,0.20195,0.05171,13.26,-99.9999,2,1911,Schubart
85162,3.96605,0.19484,0.04946,13.69,-99.9999,2,1911,Schubart
92281,3.96596,0.19179,0.05043,13.98,-99.9999,2,1911,Schubart
97700,3.96528,0.17891,0.05011,13.51,-99.9999,2,1911,Schubart
99850,3.96528,0.17886,0.05082,13.01,-99.9999,2,1911,Schubart
100133,3.96623,0.1989,0.05167,13.99,-99.9999,2,1911,Schubart
100231,3.96736,0.21841,0.05311,14.17,-99.9999,2,1911,Schubart
112553,3.96629,0.20079,0.04802,13.86,-99.9999,2,1911,Schubart
114830,3.96539,0.18051,0.04848,13.35,-99.9999,2,1911,Schubart
115088,3.9652,0.17757,0.05074,14.28,-99.9999,2,1911,Schubart
119918,3.96616,0.19716,0.04957,13.71,-99.9999,2,1911,Schubart
119922,3.96623,0.19912,0.04918,14.1,-99.9999,2,1911,Schubart
119935,3.9648,0.16856,0.05138,13.64,-99.9999,2,1911,Schubart
120329,3.965,0.17354,0.05125,14.17,-99.9999,2,1911,Schubart
120618,3.96707,0.21148,0.04694,13.79,-99.9999,2,1911,Schubart
120761,3.96621,0.19873,0.04965,14.65,-99.9999,2,1911,Schubart
124174,3.96585,0.19047,0.05069,13.81,-99.9999,2,1911,Schubart
124791,3.96515,0.17654,0.05027,13.99,-99.9999,2,1911,Schubart
127449,3.96516,0.17671,0.0509,14.06,-99.9999,2,1911,Schubart
127469,3.96593,0.19208,0.04939,13.64,-99.9999,2,1911,Schubart
128126,3.96626,0.20009,0.0508,13.94,-99.9999,2,1911,Schubart
128203,3.96743,0.2241,0.04844,14.98,-99.9999,2,1911,Schubart
128254,3.9664,0.20315,0.04956,14.52,-99.9999,2,1911,Schubart
128858,3.96637,0.20253,0.04999,14.61,-99.9999,2,1911,Schubart
129241,3.96643,0.20413,0.04875,14.58,-99.9999,2,1911,Schubart
131502,3.96545,0.18189,0.04999,14.28,-99.9999,2,1911,Schubart
132868,3.96532,0.17968,0.05065,14.01,-99.9999,2,1911,Schubart
134429,3.96618,0.19774,0.05025,14.06,-99.9999,2,1911,Schubart
134562,3.96623,0.19933,0.05176,13.88,-99.9999,2,1911,Schubart
134642,3.96667,0.20845,0.05009,13.96,-99.9999,2,1911,Schubart
141557,3.9652,0.17747,0.05087,14.03,-99.9999,2,1911,Schubart
141701,3.96606,0.19529,0.04809,14.65,-99.9999,2,1911,Schubart
142470,3.96424,0.15884,0.05141,14.53,-99.9999,2,1911,Schubart
143621,3.96683,0.21348,0.04905,14.53,-99.9999,2,1911,Schubart
145373,3.96557,0.18092,0.0484,14.94,-99.9999,2,1911,Schubart
145421,3.96632,0.20157,0.04861,14.58,-99.9999,2,1911,Schubart
145718,3.96589,0.19025,0.05081,14.58,-99.9999,2,1911,Schubart
145833,3.96688,0.21297,0.04745,13.86,-99.9999,2,1911,Schubart
145960,3.9657,0.17945,0.05319,14.47,-99.9999,2,1911,Schubart
146961,3.96569,0.18732,0.05056,14.34,-99.9999,2,1911,Schubart
147836,3.96609,0.19533,0.05011,14.3,-99.9999,2,1911,Schubart
148234,3.96654,0.207,0.04892,14.61,-99.9999,2,1911,Schubart
150033,3.96572,0.18646,0.04993,14.96,-99.9999,2,1911,Schubart
152900,3.96577,0.18777,0.04969,14.16,-99.9999,2,1911,Schubart
153357,3.96651,0.20533,0.05063,14.16,-99.9999,2,1911,Schubart
154932,3.96651,0.20646,0.04618,14.99,-99.9999,2,1911,Schubart
154960,3.9652,0.17687,0.05112,14.58,-99.9999,2,1911,Schubart
155125,3.96488,0.17201,0.0502,14.61,-99.9999,2,1911,Schubart
156717,3.96578,0.18123,0.05101,14.61,-99.9999,2,1911,Schubart
157375,3.96612,0.19648,0.0499,14.51,-99.9999,2,1911,Schubart
159937,3.96591,0.18645,0.04866,14.77,-99.9999,2,1911,Schubart
162227,3.96642,0.1968,0.05159,14.68,-99.9999,2,1911,Schubart
162280,3.96502,0.17376,0.05088,14.07,-99.9999,2,1911,Schubart
164843,3.9645,0.16447,0.05198,14.62,-99.9999,2,1911,Schubart
164858,3.96544,0.18188,0.05023,14.17,-99.9999,2,1911,Schubart
168525,3.96622,0.19867,0.05078,14.23,-99.9999,2,1911,Schubart
168557,3.96534,0.18016,0.04991,14.11,-99.9999,2,1911,Schubart
169509,3.96624,0.19923,0.04975,14.19,-99.9999,2,1911,Schubart
171513,3.96591,0.19158,0.05037,14.29,-99.9999,2,1911,Schubart
171562,3.96701,0.21723,0.05186,15.0,-99.9999,2,1911,Schubart
173083,3.96632,0.20117,0.0515,14.48,-99.9999,2,1911,Schubart
173643,3.96643,0.20409,0.05021,14.09,-99.9999,2,1911,Schubart
175936,3.9649,0.17155,0.04968,14.92,-99.9999,2,1911,Schubart
177940,3.96684,0.20907,0.05087,14.93,-99.9999,2,1911,Schubart
177943,3.9662,0.19814,0.04993,14.47,-99.9999,2,1911,Schubart
