Asteroid_ID,a,e,sin_i,H,C,Family_ID,Family_Number,Family_Name
434,1.94426,0.0779,0.35622,11.18,0.0,3,434,Hungaria
1103,1.93362,0.08341,0.35587,12.03,-1.4,3,434,Hungaria
1919,1.93601,0.07545,0.35804,13.5,-0.55,3,434,Hungaria
1920,1.92996,0.08705,0.35329,13.93,-0.78,3,434,Hungaria
2495,1.91736,0.09478,0.35591,14.9,-0.94,3,434,Hungaria
3086,1.93576,0.04823,0.37133,13.22,-0.65,3,434,Hungaria
3169,1.89184,0.07022,0.38037,12.41,-5.76,3,434,Hungaria
3483,1.93263,0.08313,0.35821,13.44,-0.8,3,434,Hungaria
3880,1.94729,0.0806,0.35285,13.45,0.2,3,434,Hungaria
4031,1.93419,0.0712,0.35223,12.97,-0.86,3,434,Hungaria
4232,1.93619,0.06302,0.35197,13.37,-0.57,3,434,Hungaria
4464,1.95236,0.06646,0.35809,13.32,0.58,3,434,Hungaria
4690,1.93748,0.08045,0.34657,13.36,-0.48,3,434,Hungaria
4764,1.93174,0.06382,0.37325,13.53,-0.82,3,434,Hungaria
4765,1.94542,0.07643,0.36165,13.55,0.07,3,434,Hungaria
4868,1.96059,0.07891,0.35825,14.51,0.68,3,434,Hungaria
5378,1.93415,0.07294,0.36184,13.47,-0.68,3,434,Hungaria
5390,1.93913,0.05901,0.36018,13.32,-0.37,3,434,Hungaria
5427,1.9317,0.08499,0.36101,13.38,-0.89,3,434,Hungaria
5475,1.91803,0.09747,0.35969,14.71,-1.0,3,434,Hungaria
5477,1.91723,0.06531,0.36688,13.76,-1.6,3,434,Hungaria
5558,1.9354,0.07552,0.35108,13.91,-0.49,3,434,Hungaria
5579,1.94912,0.0915,0.35526,13.8,0.28,3,434,Hungaria
5841,1.92586,0.08217,0.37882,14.18,-0.9,3,434,Hungaria
5899,1.9286,0.07857,0.36301,13.85,-0.89,3,434,Hungaria
5967,1.94167,0.07276,0.3586,13.51,-0.17,3,434,Hungaria
6029,1.9272,0.08655,0.36274,13.8,-0.99,3,434,Hungaria
6087,1.92998,0.0975,0.33956,14.6,-0.57,3,434,Hungaria
6163,1.92716,0.09127,0.35401,14.07,-0.88,3,434,Hungaria
6250,1.93266,0.08388,0.35748,13.85,-0.66,3,434,Hungaria
6394,1.9385,0.09736,0.34418,13.48,-0.39,3,434,Hungaria
6435,1.91946,0.08355,0.36452,14.73,-0.94,3,434,Hungaria
6447,1.95203,0.07273,0.3604,14.16,0.38,3,434,Hungaria
6461,1.95255,0.06568,0.35719,13.96,0.44,3,434,Hungaria
6517,1.9261,0.0676,0.34947,14.14,-0.9,3,434,Hungaria
