Asteroid_ID,a,e,sin_i,H,C,Family_ID,Family_Number,Family_Name
624,5.29626,0.05419,0.32592,7.2,-99.9999,4,624,Hector
191028,5.30019,0.05585,0.32464,12.4,-99.9999,4,624,Hector
231623,5.29124,0.05467,0.32472,13.0,-99.9999,4,624,Hector
252159,5.28751,0.05154,0.32547,12.5,-99.9999,4,624,Hector
253382,5.28792,0.05635,0.32491,12.5,-99.9999,4,624,Hector
321570,5.28591,0.05472,0.32443,12.9,-99.9999,4,624,Hector
325374,5.2879,0.05452,0.32433,13.4,-99.9999,4,624,Hector
356217,5.29411,0.05377,0.32476,13.4,-99.9999,4,624,Hector
356276,5.28862,0.05488,0.32397,13.6,-99.9999,4,624,Hector
388903,5.2859,0.05429,0.32537,13.9,-99.9999,4,624,Hector
398095,5.29291,0.05618,0.32443,13.2,-99.9999,4,624,Hector
398104,5.28611,0.05408,0.32419,13.6,-99.9999,4,624,Hector
