Asteroid_ID,a,e,sin_i,H,C,Family_ID,Family_Number,Family_Name
3548,5.29729,0.04364,0.12917,9.7,-99.9999,5,3548,Eurybates
5258,5.28922,0.05868,0.12233,10.2,-99.9999,5,3548,Eurybates
8060,5.29217,0.05615,0.12731,10.8,-99.9999,5,3548,Eurybates
9818,5.28603,0.04623,0.12947,11.0,-99.9999,5,3548,Eurybates
13862,5.29277,0.04368,0.12768,11.6,-99.9999,5,3548,Eurybates
18060,5.29248,0.04453,0.12918,11.0,-99.9999,5,3548,Eurybates
24380,5.29529,0.04369,0.12789,11.1,-99.9999,5,3548,Eurybates
24420,5.30471,0.0488,0.12599,11.4,-99.9999,5,3548,Eurybates
24426,5.30138,0.03929,0.12844,12.1,-99.9999,5,3548,Eurybates
28958,5.29645,0.0378,0.12922,12.1,-99.9999,5,3548,Eurybates
39285,5.29544,0.04702,0.12894,12.5,-99.9999,5,3548,Eurybates
39795,5.2932,0.0509,0.12869,12.5,-99.9999,5,3548,Eurybates
43212,5.29006,0.04802,0.12657,12.2,-99.9999,5,3548,Eurybates
43436,5.29699,0.05205,0.12473,12.1,-99.9999,5,3548,Eurybates
53469,5.30557,0.0446,0.12952,12.4,-99.9999,5,3548,Eurybates
65150,5.31018,0.04981,0.13028,12.4,-99.9999,5,3548,Eurybates
65225,5.28627,0.03981,0.12868,12.4,-99.9999,5,3548,Eurybates
88229,5.30601,0.05567,0.13013,12.3,-99.9999,5,3548,Eurybates
101405,5.28625,0.04437,0.13016,13.1,-99.9999,5,3548,Eurybates
111805,5.31159,0.04923,0.12778,12.6,-99.9999,5,3548,Eurybates
127846,5.28942,0.04124,0.13128,12.5,-99.9999,5,3548,Eurybates
160661,5.2843,0.04251,0.13127,13.2,-99.9999,5,3548,Eurybates
160856,5.29229,0.06117,0.12781,12.6,-99.9999,5,3548,Eurybates
163135,5.28862,0.03965,0.13028,12.6,-99.9999,5,3548,Eurybates
163189,5.30433,0.05174,0.12812,12.9,-99.9999,5,3548,Eurybates
163216,5.29795,0.03994,0.12617,12.6,-99.9999,5,3548,Eurybates
166211,5.29258,0.04553,0.12917,12.9,-99.9999,5,3548,Eurybates
191088,5.31092,0.04869,0.13035,13.0,-99.9999,5,3548,Eurybates
191116,5.28815,0.06107,0.13022,13.1,-99.9999,5,3548,Eurybates
192388,5.2954,0.04458,0.12777,12.8,-99.9999,5,3548,Eurybates
192929,5.30058,0.04479,0.12856,12.5,-99.9999,5,3548,Eurybates
195287,5.30061,0.05324,0.13055,13.1,-99.9999,5,3548,Eurybates
195312,5.25107,0.04352,0.12667,12.9,-99.9999,5,3548,Eurybates
195412,5.31773,0.04215,0.12873,12.5,-99.9999,5,3548,Eurybates
200024,5.29797,0.04659,0.12868,12.9,-99.9999,5,3548,Eurybates
200032,5.30289,0.04091,0.12944,12.9,-99.9999,5,3548,Eurybates
210237,5.31195,0.04646,0.12966,12.7,-99.9999,5,3548,Eurybates
214376,5.28399,0.0481,0.12847,13.1,-99.9999,5,3548,Eurybates
219835,5.29426,0.0621,0.12682,13.3,-99.9999,5,3548,Eurybates
221786,5.28116,0.04332,0.12882,13.2,-99.9999,5,3548,Eurybates
