Asteroid_ID,a,e,sin_i,H,C,Family_ID,Family_Number,Family_Name
20961,5.27584,0.02866,0.15454,11.9,-99.9999,8,20961,Arkesilaos
189772,5.28908,0.02746,0.15379,12.6,-99.9999,8,20961,Arkesilaos
202791,5.2437,0.03145,0.15592,12.9,-99.9999,8,20961,Arkesilaos
241573,5.24238,0.03338,0.15698,12.8,-99.9999,8,20961,Arkesilaos
257398,5.25918,0.03661,0.15236,13.7,-99.9999,8,20961,Arkesilaos
257566,5.2397,0.03946,0.15326,13.2,-99.9999,8,20961,Arkesilaos
263802,5.2354,0.02931,0.14812,13.3,-99.9999,8,20961,Arkesilaos
264048,5.23522,0.03111,0.15152,13.7,-99.9999,8,20961,Arkesilaos
264110,5.24917,0.03048,0.15539,13.4,-99.9999,8,20961,Arkesilaos
285236,5.23168,0.03064,0.15439,13.7,-99.9999,8,20961,Arkesilaos
295599,5.24307,0.03584,0.15246,13.9,-99.9999,8,20961,Arkesilaos
296634,5.27401,0.03743,0.15135,13.6,-99.9999,8,20961,Arkesilaos
296726,5.25641,0.03335,0.15225,14.2,-99.9999,8,20961,Arkesilaos
296745,5.24566,0.0308,0.1541,13.3,-99.9999,8,20961,Arkesilaos
310668,5.27193,0.03952,0.15168,13.4,-99.9999,8,20961,Arkesilaos
316153,5.26127,0.02994,0.15509,13.4,-99.9999,8,20961,Arkesilaos
316461,5.23832,0.03016,0.15493,14.0,-99.9999,8,20961,Arkesilaos
316537,5.25582,0.03117,0.15607,13.4,-99.9999,8,20961,Arkesilaos
353359,5.23887,0.03024,0.14976,13.3,-99.9999,8,20961,Arkesilaos
354202,5.23646,0.02941,0.14987,13.7,-99.9999,8,20961,Arkesilaos
354351,5.23977,0.03592,0.15196,13.5,-99.9999,8,20961,Arkesilaos
355769,5.24491,0.02856,0.1533,14.5,-99.9999,8,20961,Arkesilaos
355781,5.25147,0.03329,0.15035,13.6,-99.9999,8,20961,Arkesilaos
355835,5.25277,0.03679,0.15466,13.9,-99.9999,8,20961,Arkesilaos
356237,5.31955,0.0256,0.15362,13.8,-99.9999,8,20961,Arkesilaos
356265,5.23842,0.03105,0.15154,14.0,-99.9999,8,20961,Arkesilaos
356432,5.25787,0.03652,0.15149,14.0,-99.9999,8,20961,Arkesilaos
359343,5.27331,0.02707,0.15254,14.3,-99.9999,8,20961,Arkesilaos
359355,5.24141,0.03815,0.15452,14.1,-99.9999,8,20961,Arkesilaos
389305,5.23468,0.03292,0.15244,13.8,-99.9999,8,20961,Arkesilaos
389334,5.23373,0.02951,0.152,14.2,-99.9999,8,20961,Arkesilaos
389353,5.26726,0.03516,0.15228,14.0,-99.9999,8,20961,Arkesilaos
389568,5.24598,0.03203,0.1549,14.1,-99.9999,8,20961,Arkesilaos
392456,5.23456,0.0348,0.15209,13.9,-99.9999,8,20961,Arkesilaos
394808,5.30457,0.02681,0.15356,14.2,-99.9999,8,20961,Arkesilaos
396412,5.25518,0.03531,0.15339,13.8,-99.9999,8,20961,Arkesilaos
399153,5.25793,0.03857,0.15422,13.3,-99.9999,8,20961,Arkesilaos
