Asteroid_ID,a,e,sin_i,H,C,Family_ID,Family_Number,Family_Name
1867,5.28666,0.02946,0.4745,8.3,-99.9999,9,4709,Ennomos
4709,5.29645,0.03192,0.45126,8.5,-99.9999,9,4709,Ennomos
17492,5.3316,0.02809,0.46346,9.9,-99.9999,9,4709,Ennomos
36624,5.2851,0.02679,0.45984,11.4,-99.9999,9,4709,Ennomos
48373,5.33471,0.03807,0.46617,12.0,-99.9999,9,4709,Ennomos
55419,5.30691,0.03788,0.46171,10.9,-99.9999,9,4709,Ennomos
76867,5.26157,0.02662,0.47157,10.2,-99.9999,9,4709,Ennomos
77894,5.29956,0.03373,0.46744,12.2,-99.9999,9,4709,Ennomos
98362,5.33081,0.03372,0.45576,12.3,-99.9999,9,4709,Ennomos
131451,5.32102,0.04061,0.45827,12.4,-99.9999,9,4709,Ennomos
131460,5.30309,0.03005,0.47552,12.4,-99.9999,9,4709,Ennomos
187692,5.32965,0.03381,0.46054,12.8,-99.9999,9,4709,Ennomos
246817,5.32267,0.02982,0.46155,12.7,-99.9999,9,4709,Ennomos
247967,5.28413,0.02947,0.47015,12.6,-99.9999,9,4709,Ennomos
284226,5.26462,0.02188,0.47039,13.0,-99.9999,9,4709,Ennomos
287454,5.32191,0.0341,0.45751,12.5,-99.9999,9,4709,Ennomos
289501,5.31342,0.03713,0.4583,12.8,-99.9999,9,4709,Ennomos
293486,5.30225,0.02657,0.45737,12.8,-99.9999,9,4709,Ennomos
296513,5.28343,0.03003,0.45357,13.5,-99.9999,9,4709,Ennomos
301010,5.31866,0.02586,0.46184,13.4,-99.9999,9,4709,Ennomos
321706,5.28337,0.03134,0.46818,12.7,-99.9999,9,4709,Ennomos
335567,5.28952,0.02774,0.46999,12.9,-99.9999,9,4709,Ennomos
337420,5.31683,0.02579,0.45693,12.6,-99.9999,9,4709,Ennomos
348312,5.31083,0.02827,0.45458,13.4,-99.9999,9,4709,Ennomos
368086,5.29384,0.02701,0.45235,13.4,-99.9999,9,4709,Ennomos
378251,5.28275,0.04061,0.45972,14.0,-99.9999,9,4709,Ennomos
378304,5.26851,0.02625,0.45215,14.0,-99.9999,9,4709,Ennomos
378592,5.30943,0.02462,0.45602,13.5,-99.9999,9,4709,Ennomos
381144,5.32703,0.03316,0.46408,13.6,-99.9999,9,4709,Ennomos
381987,5.33264,0.04313,0.45974,13.6,-99.9999,9,4709,Ennomos
